id,project,category,subcategory,title,document,keywords,source
ELITUS_AMENITY_005,Praangan Elitus,amenity,fitness,Reflexology Path,"Reflexology path supports wellness and relaxation.",reflexology wellness,pdf

ELITUS_AMENITY_006,Praangan Elitus,amenity,water,Swimming Pool,"A premium swimming pool is available for residents.",swimming pool,pdf
ELITUS_AMENITY_007,Praangan Elitus,amenity,water,Splash Pool,"Splash pool is available for family recreation.",splash pool,pdf
ELITUS_AMENITY_008,Praangan Elitus,amenity,water,Pool Deck,"Poolside leisure deck provides relaxation space.",pool deck,pdf

ELITUS_AMENITY_009,Praangan Elitus,amenity,sports,Badminton Court,"Dedicated badminton court is available.",badminton sports,pdf
ELITUS_AMENITY_010,Praangan Elitus,amenity,sports,Pickleball Court,"Pickleball court is included in sports amenities.",pickleball sports,pdf
ELITUS_AMENITY_011,Praangan Elitus,amenity,sports,Cricket Practice Net,"Cricket practice net is available for sports activities.",cricket sports,pdf
ELITUS_AMENITY_012,Praangan Elitus,amenity,sports,Multipurpose Court,"Multipurpose court supports multiple games.",sports court,pdf

ELITUS_AMENITY_013,Praangan Elitus,amenity,entertainment,Movie Theatre,"Two club-class movie theatres are available.",movie theatre,pdf
ELITUS_AMENITY_014,Praangan Elitus,amenity,entertainment,Indoor Games,"Indoor games room offers recreational activities.",indoor games,pdf
ELITUS_AMENITY_015,Praangan Elitus,amenity,entertainment,Performance Stage,"Performance stage is available for events and celebrations.",stage events,pdf
ELITUS_AMENITY_016,Praangan Elitus,amenity,entertainment,Banquet Hall,"Banquet hall is available for social gatherings.",banquet hall,pdf

ELITUS_AMENITY_017,Praangan Elitus,amenity,kids,Toddler Play Area,"Toddler play area is designed for small children.",kids toddler,pdf
ELITUS_AMENITY_018,Praangan Elitus,amenity,kids,Children Activity Zone,"Dedicated outdoor children activity zone is available.",kids play,pdf
ELITUS_AMENITY_019,Praangan Elitus,amenity,kids,Swing Park,"Swing park provides recreation for children.",swing park,pdf
ELITUS_AMENITY_020,Praangan Elitus,amenity,kids,Art And Craft Zone,"Art and craft area supports creative activities.",art craft,pdf

ELITUS_AMENITY_021,Praangan Elitus,amenity,lifestyle,Temple,"Temple is available within the campus.",temple spiritual,pdf
ELITUS_AMENITY_022,Praangan Elitus,amenity,lifestyle,Library,"Library and reading area are available.",library reading,pdf
ELITUS_AMENITY_023,Praangan Elitus,amenity,lifestyle,Reading Room,"Dedicated reading room is available.",reading room,pdf
ELITUS_AMENITY_024,Praangan Elitus,amenity,lifestyle,Work From Home Studio,"Work-from-home studio supports remote professionals.",wfh office,pdf
ELITUS_AMENITY_025,Praangan Elitus,amenity,lifestyle,Society Office,"Society office supports community operations.",society office,pdf

ELITUS_AMENITY_026,Praangan Elitus,amenity,relaxation,Lily Pond,"Lily pond adds aesthetic landscape beauty.",lily pond,pdf
ELITUS_AMENITY_027,Praangan Elitus,amenity,relaxation,Floating Deck,"Floating deck offers premium leisure experience.",floating deck,pdf
ELITUS_AMENITY_028,Praangan Elitus,amenity,relaxation,Rainforest Walk,"Rainforest walk offers immersive natural experience.",rainforest walk,pdf
ELITUS_AMENITY_029,Praangan Elitus,amenity,relaxation,Senior Citizen Zone,"Senior citizen seating zone offers comfortable community space.",senior citizen,pdf

ELITUS_SAFETY_001,Praangan Elitus,safety,security,CCTV,"Entire campus is monitored with CCTV surveillance.",cctv security,pdf
ELITUS_SAFETY_002,Praangan Elitus,safety,security,Fire Safety,"Advanced fire safety systems follow safety norms.",fire safety,pdf
ELITUS_SAFETY_003,Praangan Elitus,safety,security,Two Staircases,"Each block includes two staircases for emergency evacuation.",staircase safety,pdf
ELITUS_SAFETY_004,Praangan Elitus,safety,security,Access Control,"Controlled access improves resident security.",access control,pdf

ELITUS_GREEN_001,Praangan Elitus,sustainability,energy,Solar System,"Rooftop solar systems improve energy efficiency.",solar energy,pdf
ELITUS_GREEN_002,Praangan Elitus,sustainability,water,Rainwater Harvesting,"Rainwater harvesting supports water conservation.",rainwater harvesting,pdf
ELITUS_GREEN_003,Praangan Elitus,sustainability,energy,LED Lighting,"Common areas use LED lighting for energy savings.",led lighting,pdf

ELITUS_SPEC_001,Praangan Elitus,specification,structure,RCC Structure,"Building uses earthquake-resistant RCC frame structure.",rcc structure,pdf
ELITUS_SPEC_002,Praangan Elitus,specification,masonry,ACC Block,"ACC block masonry is used for walls.",acc block,pdf
ELITUS_SPEC_003,Praangan Elitus,specification,flooring,Vitrified Flooring,"Premium vitrified flooring is used in major living areas.",flooring tiles,pdf
ELITUS_SPEC_004,Praangan Elitus,specification,bathroom,Premium Fittings,"Bathrooms include premium sanitary fittings.",bathroom fittings,pdf
ELITUS_SPEC_005,Praangan Elitus,specification,bathroom,Anti Skid Tiles,"Bathrooms use anti-skid flooring for safety.",anti skid,pdf

ELITUS_FAQ_006,Praangan Elitus,faq,amenity,Gym FAQ,"Does Praangan Elitus have gym? Yes, it includes a modern gym.",gym faq,synthetic
ELITUS_FAQ_007,Praangan Elitus,faq,amenity,Pool FAQ,"Does Praangan Elitus have swimming pool? Yes, a premium pool is available.",pool faq,synthetic
ELITUS_FAQ_008,Praangan Elitus,faq,amenity,Temple FAQ,"Does Praangan Elitus have temple? Yes, temple is available inside campus.",temple faq,synthetic
ELITUS_FAQ_009,Praangan Elitus,faq,amenity,Theatre FAQ,"Does Praangan Elitus have theatre? Yes, two club-class movie theatres are available.",theatre faq,synthetic
ELITUS_FAQ_010,Praangan Elitus,faq,safety,Safety FAQ,"Is Praangan Elitus secure? Yes, it has CCTV and controlled access.",safety faq,synthetic
ELITUS_FAQ_011,Praangan Elitus,faq,sustainability,Green FAQ,"Does the project have green features? Yes, solar systems and rainwater harvesting are included.",green faq,synthetic
