id,project,category,subcategory,title,document,keywords,source
ELITUS_AMENITY_005,Praangan Elitus,amenity,entertainment,Movie Theatres,"Two Club Class Movie Theatres available within the campus for private screenings.",movie theatre cinema,pdf
ELITUS_AMENITY_006,Praangan Elitus,amenity,entertainment,Banquet Hall,"Spacious Banquet Hall for 200+ guests, Pre-Function Space, and Outdoor Banquet Space for 100 guests.",banquet hall events,pdf
ELITUS_AMENITY_007,Praangan Elitus,amenity,kids,Children Zones,"Outdoor Play Area, Indoor Toddler Play Area, Activity/Workshop Zone, Art & Craft Area, and Jhula Park in both blocks.",kids toddler play,pdf
ELITUS_AMENITY_008,Praangan Elitus,amenity,lifestyle,Library & Co-working,"Library, Indoor-Outdoor Reading Area, Conference Space, and Co-working/Work from Home Studio.",library coworking wfh,pdf
ELITUS_AMENITY_009,Praangan Elitus,amenity,relaxation,Landscape Features,"Lilly Pond & Sitting Island, Floating Decks, Rainforest Inspired Sitting Area, and 13,000 sq. ft. Lawn & Garba Ground.",landscape pond garden,pdf
ELITUS_AMENITY_010,Praangan Elitus,amenity,lifestyle,Temple & Senior Zone,"Iconic Temple surrounded by nature. Dedicated Senior Zones and multiple sit-out areas for elderly comfort.",temple senior citizen,pdf
ELITUS_SAFETY_001,Praangan Elitus,safety,security,Security Systems,"Comprehensive CCTV surveillance, Access Control in private elevators, dedicated security cabin, and community gate.",cctv access control,pdf
ELITUS_SAFETY_002,Praangan Elitus,safety,security,Fire Safety,"Advanced fire safety features per GDCR regulations, Fire Control Room, and two wide concrete staircases per block for emergency exits.",fire safety evacuation,pdf
ELITUS_SAFETY_003,Praangan Elitus,safety,accessibility,Barrier-Free Campus,"Wheelchair friendly with specially abled washroom at first floor and reserved parking with ramp near lift.",accessibility disabled friendly,pdf
ELITUS_GREEN_001,Praangan Elitus,sustainability,energy,Solar & LED,"Rooftop solar system for common area lighting and LED installations throughout the campus for energy efficiency.",solar led energy,pdf
ELITUS_GREEN_002,Praangan Elitus,sustainability,water,Water Management,"Sewage Treatment Plant (STP) with dual plumbing for wastewater reuse, Rainwater Harvesting, and Greywater recycling.",stp rainwater harvesting,pdf
ELITUS_GREEN_003,Praangan Elitus,sustainability,landscape,Eco-Landscaping,"Native, drought-resistant landscaping with efficient drip irrigation to conserve water.",drip irrigation native plants,pdf
ELITUS_SPEC_001,Praangan Elitus,specification,structure,Structural Integrity,"Earthquake resistance RCC frame structure with block masonry. High-grade construction standards.",rcc earthquake resistant,pdf
ELITUS_SPEC_002,Praangan Elitus,specification,finishes,Flooring & Walls,"Living/Kitchen: 4x6 Large Vitrified Slabs. Bedrooms: 2.5x5 Vitrified Tiles. Internal Walls: POP punning with premier coat.",flooring vitrified pop,pdf
ELITUS_SPEC_003,Praangan Elitus,specification,fixtures,Bathroom Fittings,"Premium TOTO / Grohe CP fittings and sanitary ware. Designer dado tiles up to 8 ft height. Anti-skid flooring in wet areas.",toto grohe bathroom,pdf
ELITUS_SPEC_004,Praangan Elitus,specification,doors_windows,Windows & Doors,"Bedrooms: Powder-coated aluminum with DGU (Double Glazed Unit) glass. Main Door: 8 ft Veneer Clad Flush Door with brass hinges.",dgu glass veneer door,pdf
ELITUS_SPEC_005,Praangan Elitus,specification,electrical,Electrical & Plumbing,"3-phase concealed conduit with ISI brand copper wiring and ELCB. Hydro-pneumatic water supply with PVR for uniform pressure.",electrical plumbing hydro-pneumatic,pdf
ELITUS_PARKING_001,Praangan Elitus,parking,facility,Parking Allocation,"3 allotted parking bays per residential unit. Ample covered visitor parking. Mechanical parking level on ground floor.",parking allocation visitor,pdf
ELITUS_PARKING_002,Praangan Elitus,parking,facility,EV Charging,"One Electric Vehicle (EV) Charging Point provision for each unit at the ground floor.",ev charging electric vehicle,pdf
ELITUS_PARKING_003,Praangan Elitus,parking,facility,Driveway Width,"Unobstructed 8.0 meters wide driveways. 7.5 meter wide entry ramp. Minimum 15 feet wide roads in parking areas.",driveway ramp width,pdf
ELITUS_ELEVATOR_001,Praangan Elitus,elevator,specification,Lift Count,"Total 12 elevators (6 per block). 4 private access-controlled passenger lifts and 2 service lifts with stretcher provisions per block.",elevator lift count,pdf
ELITUS_FAQ_001,Praangan Elitus,faq,general,Possession Date,"The expected possession and handover date for the flats is December 2029.",possession date handover,synthetic
ELITUS_FAQ_002,Praangan Elitus,faq,general,Pricing,"For pricing details of 4 BHK and 5 BHK flats, please contact the developer directly or visit the site.",price cost inquiry,synthetic
ELITUS_FAQ_003,Praangan Elitus,faq,general,RERA Number,"Contact the developer directly or visit their site for the specific RERA registration number.",rera registration,synthetic
